X,Y,OBJECTID,SiteID,SensorDate,SensorID,ConfidenceID,Main_Damage_Site_Class,Grouped_Damage_Classes,FieldValidation,Notes,Settlement_Name,Neighborhood,EventCode
34.524895202,31.5454552770001,"1012",Road,2023/10/15 00:00:00,WorldView-2,Medium,Impact Crater (Damage to Road),Damaged Road segments,Not yet field validated,Debris,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5270979090001,31.5461921500001,"1013",Road,2023/10/15 00:00:00,WorldView-2,Medium,Impact Crater (Damage to Road),Damaged Road segments,Not yet field validated,Debris,Gaza strip,North Gaza Governorate,CE20231007PSE
34.52758658,31.5479829290001,"1014",Road,2023/10/15 00:00:00,WorldView-2,Medium,Impact Crater (Damage to Road),Damaged Road segments,Not yet field validated,Debris,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5261902920001,31.5480314040001,"1015",Road,2023/10/15 00:00:00,WorldView-2,Medium,Impact Crater (Damage to Road),Damaged Road segments,Not yet field validated,Debris,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5208616370001,31.5462982870001,"1016",Road,2023/10/15 00:00:00,WorldView-2,Medium,Impact Crater (Damage to Road),Impacts on Roads / Bridges,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5244086590001,31.545230222,"1017",Greenhouse,2023/10/15 00:00:00,WorldView-2,Very High,Destroyed,Damaged Greenhouses,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5247329380001,31.5448956500001,"1018",Greenhouse,2023/10/15 00:00:00,WorldView-2,Very High,Destroyed,Damaged Greenhouses,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5247974640001,31.5452103220001,"1019",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Very High,Destroyed,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5251662650001,31.5452389930001,"1020",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.524092909,31.545358637,"1021",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.524383157,31.544940523,"1022",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
34.5209057150001,31.543292798,"1023",Building (General / Default),2023/10/15 00:00:00,WorldView-2,Medium,Moderate Damage,Damaged Buildings,Not yet field validated,,Gaza strip,North Gaza Governorate,CE20231007PSE
